Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
16-10-2009,-0.555286982,-2.102588715,-0.514983523,-0.413767307,-0.772824794,-0.928226613,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.036777981,-0.856831729,-0.905773344,-0.930842313,-0.793792252,-0.852401245,-0.853440467,-0.634345534,-0.677399962,-0.496879378
17-10-2009,-0.555286982,-2.101982396,-0.514983523,-0.413767307,-0.772824794,-0.928665257,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905834154,-0.930957742,-0.793791481,-0.852516205,-0.853613241,-0.638815786,-0.713264055,-0.496879378
18-10-2009,-0.555286982,-2.101276862,-0.514983523,-0.413767307,-0.772824794,-0.92862575,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.019603432,-0.856831729,-0.905778872,-0.930852807,-0.793790571,-0.852411696,-0.853456174,-0.638465178,-0.71196999,-0.496879378
19-10-2009,-0.555286982,-2.100185488,-0.514983523,-0.413767307,-0.772824794,-0.928666385,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905590914,-0.930496028,-0.793789184,-0.852056364,-0.852922146,-0.637851614,-0.713264055,-0.496879378
20-10-2009,-0.555286982,-2.098961826,-0.514983523,-0.413767307,-0.772824794,-0.928666182,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905524576,-0.930370106,-0.793787629,-0.851930953,-0.852733666,-0.637588658,-0.713264055,-0.496879378
21-10-2009,-0.555286982,-2.098046836,-0.514983523,-0.413767307,-0.772824794,-0.928241078,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.561539776,-0.035812869,-0.856831729,-0.905668309,-0.93065343,-0.793786452,-0.852213128,-0.853157747,-0.635989062,-0.694777409,-0.496879378
22-10-2009,-0.555286982,-2.097098774,-0.514983523,-0.413767307,-0.772824794,-0.928425458,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.03677879,-0.856831729,-0.905651724,-0.930611456,-0.793785219,-0.852171324,-0.85309492,-0.632504948,-0.665753375,-0.496879378
23-10-2009,-0.555286982,-2.096139688,-0.514983523,-0.413767307,-0.772824794,-0.928666365,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905657252,-0.93062195,-0.793784001,-0.852181775,-0.853110626,-0.63811457,-0.713264055,-0.496879378
24-10-2009,-0.555286982,-2.095312889,-0.514983523,-0.413767307,-0.772824794,-0.928666217,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.90572359,-0.930747872,-0.79378295,-0.852307186,-0.853299107,-0.638377526,-0.713264055,-0.496879378
25-10-2009,-0.555286982,-2.094508139,-0.514983523,-0.413767307,-0.772824794,-0.928628482,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.036850308,-0.856831729,-0.905729119,-0.930758365,-0.793781913,-0.852317637,-0.853314813,-0.633052668,-0.667971773,-0.496879378
26-10-2009,-0.555286982,-2.09379158,-0.514983523,-0.413767307,-0.772824794,-0.928665368,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905778872,-0.930852807,-0.793781003,-0.852411696,-0.853456174,-0.638596656,-0.713264055,-0.496879378
27-10-2009,-0.555286982,-2.093063998,-0.514983523,-0.413767307,-0.772824794,-0.92857697,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.036936325,-0.856831729,-0.905767816,-0.93083182,-0.793780064,-0.852390794,-0.85342476,-0.632877364,-0.665198776,-0.496879378
28-10-2009,-0.555286982,-2.092358463,-0.514983523,-0.413767307,-0.772824794,-0.928665851,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.9057844,-0.9308633,-0.793779168,-0.852422147,-0.85347188,-0.638618569,-0.713264055,-0.496879378
29-10-2009,-0.555286982,-2.091807264,-0.514983523,-0.413767307,-0.772824794,-0.928593592,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.027681687,-0.856831729,-0.905856267,-0.930999715,-0.793778453,-0.852558009,-0.853676067,-0.638706221,-0.71141539,-0.496879378
30-10-2009,-0.555286982,-2.091134802,-0.514983523,-0.413767307,-0.772824794,-0.928488115,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.033594359,-0.856831729,-0.905795457,-0.930884287,-0.793777585,-0.852443048,-0.853503294,-0.638005005,-0.707533195,-0.496879378
31-10-2009,-0.555286982,-2.090638723,-0.514983523,-0.413767307,-0.772824794,-0.928666918,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905889436,-0.931062676,-0.793776954,-0.852620714,-0.853770308,-0.639034916,-0.713264055,-0.496879378
01-11-2009,-0.555286982,-2.090308003,-0.514983523,-0.413767307,-0.772824794,-0.928666783,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905972359,-0.931220079,-0.793776534,-0.852777478,-0.854005908,-0.639363611,-0.713264055,-0.496879378
02-11-2009,-0.555286982,-2.089944212,-0.514983523,-0.413767307,-0.772824794,-0.928666967,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905955774,-0.931188598,-0.793776072,-0.852746125,-0.853958788,-0.639297872,-0.713264055,-0.496879378
03-11-2009,-0.555286982,-2.089315845,-0.514983523,-0.413767307,-0.772824794,-0.928665825,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905823098,-0.930936755,-0.793775273,-0.852495303,-0.853581827,-0.63877196,-0.713264055,-0.496879378
04-11-2009,-0.555286982,-2.088632359,-0.514983523,-0.413767307,-0.772824794,-0.928666718,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905795457,-0.930884287,-0.793774405,-0.852443048,-0.853503294,-0.638662395,-0.713264055,-0.496879378
