Open,High,Low,Close,Volume ,MarketCap
4.388571918,4.246156514,4.383492282,4.254235963,2.057941092,4.416029102
4.373535784,4.289534845,4.529407843,4.362806186,2.337662828,4.40055408
4.308446561,4.213151761,4.396930739,4.356209694,1.902596358,4.335567503
4.100508125,4.16110006,4.262853819,4.27933337,1.90111707,4.129042304
4.10705746,3.995903977,4.113246373,4.071697548,2.211767609,4.134903087
4.137379339,4.07020775,4.199894891,4.085481616,2.883812169,4.164277956
3.775810842,3.990642516,3.923151266,4.11614703,2.83429494,3.805677497
3.817971448,3.714748973,3.904790297,3.751661283,1.582466695,3.846958413
3.524582605,3.692186727,3.673038432,3.791523956,2.225704062,3.556054965
3.660763619,3.515158101,3.654972813,3.503985463,1.045786745,3.690384682
3.463178125,3.541649211,3.565973796,3.633503686,1.357408554,3.494247118
3.460919734,3.471641914,3.515456517,3.442347273,1.876553099,3.49157216
3.785949832,3.653323142,3.589417259,3.44274921,2.298247581,3.81265935
3.80364849,3.785399593,3.889813554,3.767738755,1.913535306,3.829752118
3.990774065,3.857405786,3.90352275,3.790223572,2.595078453,4.014359691
3.417023733,3.840357734,3.561678904,3.955998859,3.333223842,3.446289451
3.435078979,3.364275948,3.382684062,3.385816044,1.962818963,3.46358089
3.472485076,3.529736253,3.434555032,3.435656207,3.09028967,3.500036947
2.9121068,3.443128932,2.768576078,3.450409652,7.624833795,2.945313115
3.754926663,3.658125086,3.023611424,2.879931296,4.838010384,3.778175808
4.059940279,3.900956436,3.806364669,3.740123333,3.870828347,4.079062453
4.103800622,4.145269726,4.169769117,4.033560839,3.180078576,4.121719872
4.048636435,4.049943085,4.187219422,4.069569648,2.582134681,4.066560395
4.17566502,4.031298214,4.004643452,4.024257184,2.819132235,4.19158807
4.176223675,4.10410856,4.20532196,4.146162251,2.249100174,4.191524212
4.622374881,4.508689622,4.157413612,4.149342281,4.807996403,4.631650577
4.603333074,4.50184283,4.669539454,4.58807994,3.141325116,4.612124094
4.35069037,4.458430034,4.528337197,4.584817159,3.778742652,4.361919741
4.174416962,4.240837613,4.062569112,4.324042928,4.802312822,4.187068314
4.606292755,4.42899802,4.198295074,4.158279463,5.365532372,4.612869108
4.598733087,4.569667425,4.578792945,4.568077673,3.313720594,4.604794567
4.974517565,4.869455811,4.642354881,4.563124393,4.849358082,4.975095306
4.737196265,4.77407173,4.899913015,4.933426402,4.609830166,4.74008216
4.563454632,4.594906354,4.741002022,4.710446052,3.336571705,4.567941168
4.581010656,4.469079323,4.645025344,4.547200603,3.322790967,4.584565641
4.365690845,4.468114339,4.498236036,4.563419935,4.389883356,4.371505598
4.36003298,4.213370031,4.341343273,4.331289612,3.364600325,4.365410667
4.313260501,4.227913719,4.455360957,4.331549689,2.543459078,4.318673405
4.345305889,4.185052343,4.396573857,4.295517237,2.493143812,4.349885978
4.298664159,4.272842918,4.443128514,4.318214844,2.914273829,4.303482199
4.066620364,4.181732339,4.225196602,4.274569237,3.517239519,4.074216309
4.00886497,4.043176708,4.161388541,4.058043519,4.163591177,4.01667988
3.901104031,3.897257331,3.664424036,3.997752999,6.877734819,3.910107286
4.010612252,3.87471806,4.05086584,3.880978537,5.002639598,4.017680329
4.128084275,3.974835158,4.150891284,3.982550331,3.657421548,4.133022811
