Date,Open,High,Low,Close,Volume,Market.Cap
03-10-2017,4.387217211,4.244845769,4.382139143,4.252922725,2.268334449,4.414665919
02-10-2017,4.372185719,4.28821071,4.528009662,4.361459433,2.568265428,4.399195675
01-10-2017,4.307116588,4.211851204,4.395573453,4.354864977,2.10176642,4.334229158
30-09-2017,4.09924234,4.159815572,4.26153792,4.278012384,2.100180257,4.127767711
29-09-2017,4.105789654,3.994670483,4.111976657,4.070440658,2.433274574,4.133626685
28-09-2017,4.136102173,4.06895132,4.198598427,4.08422047,3.153872786,4.162992487
27-09-2017,3.774645289,3.989410646,3.92194023,4.114876418,3.100778053,3.804502724
26-09-2017,3.816792879,3.713602269,3.903584928,3.750503184,1.758508136,3.845770896
25-09-2017,3.523494603,3.691046987,3.671904603,3.790353552,2.448217903,3.554957248
24-09-2017,3.659633579,3.514073008,3.653844561,3.502903819,1.183054311,3.689245499
23-09-2017,3.462109078,3.540555941,3.564873017,3.632382061,1.517190069,3.49316848
22-09-2017,3.459851384,3.470570254,3.514371332,3.441284656,2.073841596,3.490494348
21-09-2017,3.784781148,3.652195399,3.588309244,3.441686469,2.526002521,3.811482422
20-09-2017,3.802474344,3.78423108,3.888612809,3.766575693,2.113495681,3.828569914
19-09-2017,3.989542154,3.856215045,3.902317773,3.78905357,2.844278732,4.0131205
18-09-2017,3.415968933,3.839172255,3.560579451,3.954777683,3.635753405,3.445225617
17-09-2017,3.434018606,3.363237431,3.381639862,3.384770878,2.166339968,3.462511718
16-09-2017,3.471413156,3.52864666,3.433494821,3.434595656,3.375267805,3.498956522
15-09-2017,2.911207862,3.442066074,2.767721447,3.449344547,8.237422169,2.944403927
14-09-2017,3.753767556,3.656995861,3.022678067,2.879042291,5.249257265,3.777009524
13-09-2017,4.058687018,3.899752252,3.805189684,3.738968795,4.212198582,4.077803289
12-09-2017,4.102533821,4.143990124,4.168481953,4.032315721,3.47154375,4.12044754
11-09-2017,4.047386663,4.048692909,4.185926871,4.068313414,2.830399803,4.06530509
10-09-2017,4.174376036,4.030053794,4.00340726,4.023014938,3.084519878,4.190294171
09-09-2017,4.174934518,4.102841664,4.204023821,4.144882374,2.473304329,4.190230332
08-09-2017,4.620948002,4.507297836,4.156130262,4.148061422,5.217074844,4.630220834
07-09-2017,4.601912073,4.500453158,4.668098015,4.586663647,3.429990443,4.610700379
06-09-2017,4.349347357,4.457053763,4.526939346,4.583401873,4.113459909,4.360573261
05-09-2017,4.173128362,4.239528511,4.061315039,4.322708141,5.210980638,4.185775809
04-09-2017,4.604870841,4.427630834,4.196999104,4.156995846,5.814891486,4.611445164
03-09-2017,4.597313505,4.568256816,4.577379519,4.566667555,3.614841092,4.603373115
02-09-2017,4.972981983,4.867952661,4.640921834,4.561715804,5.261424808,4.973559546
01-09-2017,4.735733942,4.772598024,4.898400463,4.931903504,5.004591559,4.738618946
31-08-2017,4.562045941,4.593487954,4.739538523,4.708991986,3.639343143,4.566531092
30-08-2017,4.579596545,4.467699765,4.643591473,4.54579693,3.624566778,4.583150433
29-08-2017,4.364343201,4.466735078,4.496847477,4.562011255,4.768754104,4.37015616
28-08-2017,4.358687083,4.212069407,4.340003145,4.329952588,3.669396765,4.36406311
27-08-2017,4.311929042,4.226608606,4.453985633,4.330212584,2.788929978,4.317340276
26-08-2017,4.343964538,4.183760461,4.395216681,4.294191255,2.734979551,4.348543213
25-08-2017,4.297337206,4.271523936,4.441756967,4.316881856,3.18653523,4.302153758
24-08-2017,4.065365041,4.180441481,4.223892328,4.273249722,3.833063785,4.072958641
23-08-2017,4.007627475,4.041928622,4.160103963,4.056790843,4.526112843,4.015439973
22-08-2017,3.899899801,3.896054288,3.663292866,3.996518934,7.436347034,3.908900277
21-08-2017,4.009374218,3.873521975,4.04961538,3.879780519,5.425780557,4.016440113
20-08-2017,4.126809978,3.973608167,4.149609947,3.981320959,3.983373639,4.13174699
19-08-2017,4.06554328,4.027550204,4.027409401,4.106639257,5.790869459,4.070773939
18-08-2017,4.287260759,4.173252272,4.082586029,4.067545242,5.71967994,4.288776004
17-08-2017,4.3586752,4.304828579,4.363463977,4.269716133,4.909171307,4.358473678
16-08-2017,4.139916489,4.185999911,4.056775424,4.322826321,4.322040398,4.142386773
15-08-2017,4.290409649,4.271834014,3.94821833,4.092729446,6.37989959,4.29012371
14-08-2017,3.980404433,4.121572655,4.050304319,4.261963511,4.720772661,3.98418029
13-08-2017,3.759316731,3.987504242,3.888698926,3.964303008,6.173364417,3.765837752
12-08-2017,3.486717948,3.690668003,3.588395361,3.741474216,4.212574252,3.496864032
11-08-2017,3.157795629,3.38036061,3.291192021,3.464826154,3.798502119,3.172414482
10-08-2017,3.119795066,3.120504009,3.226419458,3.146519568,2.742284251,3.134586506
09-08-2017,3.213144791,3.08525851,3.138087643,3.100653827,2.645966565,3.226102828
08-08-2017,3.153517892,3.156564898,3.258848798,3.192208038,3.238273376,3.166903074
07-08-2017,2.966438199,3.056455736,3.055931674,3.143754151,2.673766166,2.982267369
06-08-2017,3.019707906,2.936570508,3.024818699,2.948756799,1.886423867,3.034303002
05-08-2017,2.591957982,2.932803638,2.679401935,2.994811628,3.640950177,2.61277607
04-08-2017,2.484182777,2.484132682,2.518104105,2.572884631,1.671644818,2.506236374
03-08-2017,2.368481877,2.385344222,2.44603617,2.465151548,1.259820446,2.39205022
02-08-2017,2.38935961,2.327026645,2.425675564,2.35399124,1.865386331,2.412223249
01-08-2017,2.56067109,2.509421242,2.446614386,2.362961118,2.344825093,2.580402756
31-07-2017,2.432267687,2.472981369,2.489673071,2.548598597,1.376232318,2.453718404
30-07-2017,2.386103777,2.322432901,2.396469473,2.408956857,1.053506501,2.407960243
29-07-2017,2.484289721,2.380118839,2.45545987,2.372640077,1.257626949,2.504143883
28-07-2017,2.333036074,2.481973623,2.439380528,2.470209661,2.460510669,2.355023775
27-07-2017,2.165467614,2.247543393,2.254363513,2.308030955,1.227068258,2.189901432
26-07-2017,2.211881059,2.152728521,2.157739826,2.139825057,1.53657883,2.235191443
25-07-2017,2.425447073,2.333400464,2.194844109,2.195405211,2.627454368,2.444802266
24-07-2017,2.395978219,2.343943106,2.463321156,2.406215076,1.388543868,2.415400998
23-07-2017,2.485573042,2.407015208,2.407652429,2.377308196,1.819241498,2.503037346
22-07-2017,2.319846385,2.441743911,2.412290464,2.471521462,2.036900685,2.339787605
21-07-2017,2.52158921,2.414169964,2.368173767,2.30328011,2.688730365,2.537645014
20-07-2017,1.846039494,2.48570604,1.93517564,2.480361342,4.274497237,1.87356649
19-07-2017,1.909243057,1.907434087,1.923291443,1.837260075,2.178757958,1.935348165
18-07-2017,1.802822469,1.89645504,1.805851958,1.890972982,2.736732679,1.830482461
17-07-2017,1.445274961,1.716012784,1.520249857,1.784055343,2.088304902,1.479057515
16-07-2017,1.515810089,1.518803363,1.410031929,1.431181044,2.048880393,1.548045869
15-07-2017,1.798782384,1.716759267,1.591345896,1.512772663,1.653879788,1.825652
14-07-2017,1.953814699,1.86847914,1.828550035,1.789881627,1.421997306,1.977573918
13-07-2017,2.003852338,1.939647716,2.022449441,1.937086901,1.324462866,2.026367964
12-07-2017,1.920757299,1.937913577,1.941634442,1.98546988,1.912261634,1.94443454
11-07-2017,1.983877683,1.926153593,1.968293919,1.91332086,2.355448213,2.006024698
10-07-2017,2.149473631,2.068203636,1.998213553,1.95441212,1.899301009,2.168089877
09-07-2017,2.205749636,2.181129342,2.239908098,2.126813415,0.68182876,2.223005344
08-07-2017,2.143556095,2.107457176,2.208807426,2.189330748,1.110664735,2.161613795
07-07-2017,2.24850324,2.503437891,2.216877853,2.127073412,1.494854384,2.264216771
06-07-2017,2.247920992,2.159573199,2.318767002,2.233317424,1.170410919,2.263308843
05-07-2017,2.241706391,2.166383425,2.265694098,2.225552984,1.545265161,2.256882414
04-07-2017,2.191953935,2.176650442,2.291283259,2.225139353,1.636991322,2.207733709
03-07-2017,2.117758965,2.134629171,2.194241288,2.180727229,1.592319951,2.134624212
02-07-2017,2.043896708,2.041927421,2.088895142,2.112667244,1.257629036,2.061798442
01-07-2017,2.110676934,2.043064373,2.118900893,2.027672035,1.207888203,2.126892636
30-06-2017,2.166097392,2.093572586,2.191731582,2.082377655,1.375602027,2.18086471
29-06-2017,2.199748922,2.127543321,2.231161034,2.151489444,1.562823573,2.213578496
28-06-2017,2.182483501,2.144942126,2.199100768,2.193407966,2.05096745,2.196299488
27-06-2017,2.093863051,2.085763221,2.012804296,2.167006506,2.689439965,2.109138384
26-06-2017,2.22709079,2.157884999,2.066074039,2.079553148,3.051523505,2.239376424
25-06-2017,2.246910971,2.234841691,2.282388565,2.210685913,2.003445159,2.258513848
24-06-2017,2.402893894,2.321755324,2.320612374,2.233506512,1.631218522,2.410953569
23-06-2017,2.365843939,2.330058516,2.472154337,2.394456145,1.586490801,2.374281782
22-06-2017,2.346463415,2.282478814,2.393406155,2.34777496,1.871626632,2.354974122
21-06-2017,2.368327403,2.337913818,2.415599831,2.328499768,2.974928508,2.376047986
20-06-2017,2.22791069,2.328083206,2.328768919,2.367132879,3.44996358,2.238241514
19-06-2017,2.17773046,2.21255055,2.278587099,2.210910455,2.599800861,2.188773615
18-06-2017,2.304066289,2.211689223,2.238357985,2.162090209,2.040093882,2.312102889
17-06-2017,2.136117586,2.238206609,2.199765102,2.289240301,2.782773159,2.147391952
16-06-2017,2.0833113,2.071373319,2.076974037,2.126955232,2.074592937,2.095391784
15-06-2017,2.11897099,2.065389967,1.865137614,2.063161553,3.809083499,2.1299498
14-06-2017,2.377179942,2.354933638,2.111162633,2.112549064,3.120980766,2.382254527
13-06-2017,2.334438221,2.357471682,2.403272745,2.361495683,3.29762928,2.340106799
12-06-2017,2.658013369,2.596599014,2.241101439,2.293672059,4.942919021,2.656257318
11-06-2017,2.645168276,2.595841047,2.637204425,2.646416359,3.237522035,2.643312248
10-06-2017,2.509385777,2.543460883,2.521585707,2.634125617,3.793701888,2.510151814
09-06-2017,2.48478879,2.48686596,2.581953982,2.487700333,2.39549884,2.485729965
08-06-2017,2.381469562,2.38762961,2.428578949,2.466203352,2.254038108,2.384297365
07-06-2017,2.55838963,2.449737026,2.465006596,2.379388167,2.747710599,2.556853369
06-06-2017,2.346237645,2.59964237,2.453048584,2.534251519,3.941298567,2.349108055
05-06-2017,2.134204487,2.240067075,2.230841169,2.325793441,2.437991323,2.141483325
04-06-2017,2.176257017,2.124166919,2.159880458,2.118978067,2.408375982,2.182219509
03-06-2017,2.112007785,2.119596144,2.12424017,2.123161647,2.741950322,2.119012103
02-06-2017,2.005432724,2.012378164,2.062420202,2.09148935,2.328879976,2.014564898
01-06-2017,1.867951013,1.966256977,1.957861415,1.996153372,3.030444228,1.879907801
31-05-2017,1.747770372,1.808565237,1.782231194,1.852599867,2.804311589,1.762196333
30-05-2017,1.828774073,1.798091501,1.756395983,1.721490738,2.593811007,1.840952008
29-05-2017,1.714784267,1.80393704,1.734989666,1.816200361,1.656002325,1.729340682
28-05-2017,1.58960105,1.758332649,1.669675794,1.69824469,1.974309842,1.606798752
27-05-2017,1.758559775,1.750132816,1.425779104,1.560056567,3.12916203,1.771445851
26-05-2017,1.906640767,2.110270844,1.691709537,1.753340305,3.260646628,1.915685846
25-05-2017,2.055589189,2.328381799,1.954133763,1.874545932,4.60308351,2.060727371
24-05-2017,1.907211132,2.052768656,1.998508813,2.038414616,3.181129752,1.915586541
23-05-2017,1.752963069,1.819751003,1.822743264,1.892792957,2.457693142,1.764742787
22-05-2017,1.576660896,1.800319467,1.625128509,1.719044407,3.633687218,1.592449231
21-05-2017,1.604989021,1.588065535,1.64927828,1.562810166,1.975812523,1.619814753
20-05-2017,1.506612955,1.54861676,1.572289353,1.614254012,1.586526281,1.523560181
19-05-2017,1.403388787,1.456500713,1.468124245,1.499595569,1.995493472,1.422595731
18-05-2017,1.309908353,1.341611181,1.365853719,1.38252625,1.446662148,1.331199994
17-05-2017,1.200624058,1.295179916,1.18720939,1.323956136,1.802315465,1.224397849
16-05-2017,1.218412314,1.205475584,1.217510401,1.200292361,1.581744833,1.2415279
15-05-2017,1.297716803,1.236322573,1.244575859,1.204995934,1.106905945,1.318581211
14-05-2017,1.288709791,1.257706451,1.328331151,1.288289348,0.492616161,1.309537395
13-05-2017,1.196334439,1.236540776,1.173885803,1.283562139,0.78989449,1.219255288
12-05-2017,1.342062676,1.286107272,1.226700354,1.188226161,1.12663907,1.361033946
11-05-2017,1.264362338,1.306526463,1.302163774,1.335159621,1.248744434,1.285101359
10-05-2017,1.236022331,1.208346674,1.257567279,1.262549698,1.491329344,1.257260593
09-05-2017,1.197249399,1.260083713,1.254122585,1.225003844,2.017678889,1.219248194
08-05-2017,1.046375996,1.133594978,1.107255565,1.187174358,2.377487537,1.072014874
07-05-2017,1.025640854,0.988168534,1.061539545,1.037510935,1.834247439,1.05158649
06-05-2017,0.998714877,0.967588562,1.040305462,1.016344859,0.795936521,1.025135989
05-05-2017,0.979774009,1.012641704,1.025308738,0.988749779,1.554594307,1.006516368
04-05-2017,0.920182757,1.002167968,0.976603215,0.967737337,1.528533224,0.948267102
03-05-2017,0.876288424,0.868788618,0.923419589,0.911507192,0.798578735,0.905367496
02-05-2017,0.837372901,0.847117631,0.884297698,0.867461426,0.576394808,0.867284165
01-05-2017,0.750950733,0.801662536,0.801391278,0.830565564,1.069537187,0.782988709
30-04-2017,0.719545015,0.702426186,0.760325596,0.743454929,0.442357738,0.752246829
29-04-2017,0.714756326,0.678642078,0.760682368,0.712609893,0.462374703,0.747380901
28-04-2017,0.7146375,0.683327697,0.732583501,0.706334524,0.68106281,0.74711136
27-04-2017,0.672026487,0.670028808,0.718964654,0.707811776,0.517662933,0.705488528
26-04-2017,0.653145032,0.641467206,0.700055741,0.664498728,0.268121862,0.686954026
25-04-2017,0.634679468,0.610172327,0.680420981,0.646074433,0.086391363,0.668823835
24-04-2017,0.586174685,0.591062353,0.630792772,0.627945588,0.072303727,0.621519359
23-04-2017,0.612661005,0.569540663,0.62379266,0.577199005,0.120608664,0.647111584
22-04-2017,0.601717129,0.573399408,0.629365684,0.606153157,0.100508217,0.636308658
21-04-2017,0.609690355,0.573835813,0.638088143,0.594736948,0.148191211,0.643884183
20-04-2017,0.587897662,0.579405728,0.629291869,0.603045017,0.237811531,0.622547871
19-04-2017,0.589145335,0.550373267,0.625195143,0.580838955,0.181362897,0.623604756
18-04-2017,0.567328877,0.552739045,0.611281036,0.582469842,0.144762176,0.602254258
17-04-2017,0.554828379,0.526704002,0.585298196,0.561481036,0.108618521,0.589961762
16-04-2017,0.54218529,0.517884014,0.585248986,0.548516667,-0.037423301,0.577520309
15-04-2017,0.535875628,0.518779794,0.575837588,0.536202289,0.005002396,0.571235743
14-04-2017,0.539476057,0.521995415,0.569477205,0.530316914,0.112001641,0.574590822
13-04-2017,0.575943764,0.539325313,0.565355874,0.53237325,0.314742544,0.609879436
12-04-2017,0.58044727,0.540760858,0.614959478,0.569115478,0.182700701,0.614099883
11-04-2017,0.559830955,0.541828904,0.603518171,0.57459904,0.031347318,0.593898482
